PCA Components,Explained Variance,Accuracy
2,0.21594970500832789,0.5388888888888889
10,0.5887375533730296,0.8972222222222223
30,0.8932084382449569,0.9611111111111111
50,0.982759194602153,0.9722222222222222
No PCA,1.0,0.9722222222222222
